reaction_id,condition,replicate,reactant_A_mM,reactant_B_mM,initial_rate_mM_per_s,temperature_C,notes
GENCHEM_initial_rates_demo,method_of_initial_rates,1,10,5,0.55376,25,Designed so rate is approximately first order in A and second order in B.
GENCHEM_initial_rates_demo,method_of_initial_rates,2,10,5,0.54631,25,Designed so rate is approximately first order in A and second order in B.
GENCHEM_initial_rates_demo,method_of_initial_rates,3,10,5,0.58889,25,Designed so rate is approximately first order in A and second order in B.
GENCHEM_initial_rates_demo,method_of_initial_rates,1,10,10,2.15295,25,Designed so rate is approximately first order in A and second order in B.
GENCHEM_initial_rates_demo,method_of_initial_rates,2,10,10,2.22467,25,Designed so rate is approximately first order in A and second order in B.
GENCHEM_initial_rates_demo,method_of_initial_rates,3,10,10,2.07919,25,Designed so rate is approximately first order in A and second order in B.
GENCHEM_initial_rates_demo,method_of_initial_rates,1,10,20,8.6782,25,Designed so rate is approximately first order in A and second order in B.
GENCHEM_initial_rates_demo,method_of_initial_rates,2,10,20,8.88043,25,Designed so rate is approximately first order in A and second order in B.
GENCHEM_initial_rates_demo,method_of_initial_rates,3,10,20,9.05378,25,Designed so rate is approximately first order in A and second order in B.
GENCHEM_initial_rates_demo,method_of_initial_rates,1,20,5,1.15575,25,Designed so rate is approximately first order in A and second order in B.
GENCHEM_initial_rates_demo,method_of_initial_rates,2,20,5,1.0983,25,Designed so rate is approximately first order in A and second order in B.
GENCHEM_initial_rates_demo,method_of_initial_rates,3,20,5,1.05699,25,Designed so rate is approximately first order in A and second order in B.
GENCHEM_initial_rates_demo,method_of_initial_rates,1,20,10,4.47051,25,Designed so rate is approximately first order in A and second order in B.
GENCHEM_initial_rates_demo,method_of_initial_rates,2,20,10,4.47962,25,Designed so rate is approximately first order in A and second order in B.
GENCHEM_initial_rates_demo,method_of_initial_rates,3,20,10,4.47572,25,Designed so rate is approximately first order in A and second order in B.
GENCHEM_initial_rates_demo,method_of_initial_rates,1,20,20,17.16862,25,Designed so rate is approximately first order in A and second order in B.
GENCHEM_initial_rates_demo,method_of_initial_rates,2,20,20,18.29816,25,Designed so rate is approximately first order in A and second order in B.
GENCHEM_initial_rates_demo,method_of_initial_rates,3,20,20,17.65414,25,Designed so rate is approximately first order in A and second order in B.
GENCHEM_initial_rates_demo,method_of_initial_rates,1,40,5,2.25389,25,Designed so rate is approximately first order in A and second order in B.
GENCHEM_initial_rates_demo,method_of_initial_rates,2,40,5,2.2981,25,Designed so rate is approximately first order in A and second order in B.
GENCHEM_initial_rates_demo,method_of_initial_rates,3,40,5,2.24691,25,Designed so rate is approximately first order in A and second order in B.
GENCHEM_initial_rates_demo,method_of_initial_rates,1,40,10,8.88825,25,Designed so rate is approximately first order in A and second order in B.
GENCHEM_initial_rates_demo,method_of_initial_rates,2,40,10,9.46306,25,Designed so rate is approximately first order in A and second order in B.
GENCHEM_initial_rates_demo,method_of_initial_rates,3,40,10,8.87506,25,Designed so rate is approximately first order in A and second order in B.
GENCHEM_initial_rates_demo,method_of_initial_rates,1,40,20,34.83537,25,Designed so rate is approximately first order in A and second order in B.
GENCHEM_initial_rates_demo,method_of_initial_rates,2,40,20,35.33794,25,Designed so rate is approximately first order in A and second order in B.
GENCHEM_initial_rates_demo,method_of_initial_rates,3,40,20,37.02677,25,Designed so rate is approximately first order in A and second order in B.
GENCHEM_initial_rates_demo,method_of_initial_rates,1,80,5,4.41828,25,Designed so rate is approximately first order in A and second order in B.
GENCHEM_initial_rates_demo,method_of_initial_rates,2,80,5,4.47998,25,Designed so rate is approximately first order in A and second order in B.
GENCHEM_initial_rates_demo,method_of_initial_rates,3,80,5,4.58414,25,Designed so rate is approximately first order in A and second order in B.
GENCHEM_initial_rates_demo,method_of_initial_rates,1,80,10,17.28408,25,Designed so rate is approximately first order in A and second order in B.
GENCHEM_initial_rates_demo,method_of_initial_rates,2,80,10,16.53643,25,Designed so rate is approximately first order in A and second order in B.
GENCHEM_initial_rates_demo,method_of_initial_rates,3,80,10,17.78444,25,Designed so rate is approximately first order in A and second order in B.
GENCHEM_initial_rates_demo,method_of_initial_rates,1,80,20,70.96607,25,Designed so rate is approximately first order in A and second order in B.
GENCHEM_initial_rates_demo,method_of_initial_rates,2,80,20,68.90186,25,Designed so rate is approximately first order in A and second order in B.
GENCHEM_initial_rates_demo,method_of_initial_rates,3,80,20,72.54636,25,Designed so rate is approximately first order in A and second order in B.
